sku,brand,caption,unit,badge,link,image_url,price,per_unit,regular_price,promo_price,availability
394963,SHEBA,karma pełnoporcjowa mokra dla dorosłych kotów,300 g,,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Fresh-Cuisine-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-300-g,394963,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/394963_360_350_1727473175.webp,"10,99 zł","100 g = 3,66 zł",13.49,10.99,Niedostępny online; Sprawdź dostępność w drogerii
2071930,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, pasztet z dziczyzny",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-pasztet-z-dziczyzny-85-g,2071930,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2071930_360_350_1727454498.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
2071932,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, pasztet z kaczki i kurczaka",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-pasztet-z-kaczki-i-kurczaka-85-g,2071932,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2071932_360_350_1743760204.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
2071931,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z cielęciną",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-cielecina-85-g,2071931,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2071931_360_350_1727473172.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
357023,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z królikiem i warzywami",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-krolikiem-i-warzywami-85-g,357023,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/357023_360_350_1743766128.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
2097076,SHEBA,"mokra karma pełnoporcjowa dla dorosłych kotów, z tuńczykiem",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Sauce-Collection-mokra-karma-pelnoporcjowa-dla-doroslych-kotow-z-tunczykiem-85-g,2097076,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2097076_360_350_1732270537.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
357022,SHEBA,"karma pełnoporcjowa mokra dla dorosłych kotów, z indykiem i warzywami",85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Sheba-Sauce-Speciale-karma-pelnoporcjowa-mokra-dla-doroslych-kotow-z-indykiem-i-warzywami-85-g,357022,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/357022_360_350_1727432249.webp,"1,99 zł","100 g = 2,34 zł",3.49,1.99,Niedostępny online; Sprawdź dostępność w drogerii
2080575,SHELMA,"uzupełniająca karma dla kotów, bezzbożowe poduszeczki z kurczakiem i jagodami",60 g,,"https://www.rossmann.pl/Produkt/Przysmaki/Shelma-Plus-Anti-Hairball-uzupelniajaca-karma-dla-kotow-bezzbozowe-poduszeczki-z-kurczakiem-i-jagod,2080575,19122",https://pro-fra-s3-productsassets.rossmann.pl/product_7_medium/2080575_360_350_1727473744.webp,"4,19 zł","100 g = 6,98 zł",5.29,4.19,Niedostępny online; Sprawdź dostępność w drogerii
401061,SUPER BENEK,żwirek zbrylający dla kotów,5 l,,"https://www.rossmann.pl/Produkt/Akcesoria/Super-Benek-Optimum-Line-zwirek-zbrylajacy-dla-kotow-5-l,401061,19125",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/401061_360_350_1743760786.webp,"14,79 zł","1 l = 2,96 zł",18.99,14.79,Niedostępny online; Sprawdź dostępność w drogerii
421014,WHISKAS,"mokra karma pełnoporcjowa dla starszych kotów, z kurczakiem, z indykiem",340 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Whiskas-7-lat-mokra-karma-pelnoporcjowa-dla-starszych-kotow-z-kurczakiem-z-indykiem-340-g,421014,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/421014_360_350_1727383229.webp,"5,99 zł","100 g = 1,76 zł",8.99,5.99,Niedostępny online; Sprawdź dostępność w drogerii
421013,WHISKAS,"mokra karma dla kociąt, wołowina, kurczak",340 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Whiskas-Junior-mokra-karma-dla-kociat-wolowina-kurczak-340-g,421013,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/421013_360_350_1727383222.webp,"5,99 zł","100 g = 1,76 zł",8.99,5.99,Niedostępny online; Sprawdź dostępność w drogerii
2071911,WHISKAS,"puszka kurczak w galarecie, kaczka",1 600 g,,"https://www.rossmann.pl/Produkt/Mokre/Whiskas-puszka-kurczak-w-galarecie-kaczka-1 600-g,2071911,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2071911_360_350_1727473178.webp,"19,99 zł","100 g = 1,25 zł",24.99,19.99,Niedostępny online; Sprawdź dostępność w drogerii
421011,WHISKAS,"mokra karma dla dorosłych kotów, jagnięcina, kurczak, marchewka, wołowina, drób",4x85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Whiskas-Tasty-Mix-mokra-karma-dla-doroslych-kotow-jagniecina-kurczak-marchewka-wolowina-drob-4x,421011,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/421011_360_350_1727383028.webp,"5,99 zł","100 g = 1,76 zł",8.99,5.99,Niedostępny online; Sprawdź dostępność w drogerii
421010,WHISKAS,"mokra karma pełnoporcjowa dla dorosłych kotów, kurczak i warzywa, jagnięcina i indyk",4x85 g,MEGA!,"https://www.rossmann.pl/Produkt/Mokre/Whiskas-Tasty-Mix-mokra-karma-pelnoporcjowa-dla-doroslych-kotow-kurczak-i-warzywa-jagniecina-i-ind,421010,19121",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/421010_360_350_1727382010.webp,"5,99 zł","100 g = 1,76 zł",8.99,5.99,Niedostępny online; Sprawdź dostępność w drogerii
2103182,WINSTON,karma pełnoporcjowa dla psów dorosłych z jagnięciną i kurczakiem oraz marchewką i makaronem,400 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-Gourmet-Food-karma-pelnoporcjowa-dla-psow-doroslych-z-jagniecina-i-kurczakiem-oraz-marchewka,2103182,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/2103182_360_350_1734430930.webp,"3,39 zł","100 g = 0,85 zł",3.69,3.39,Niedostępny online; Sprawdź dostępność w drogerii
156640,WINSTON,"karma pełnoporcjowa mokra dla szczeniąt, z drobiem i ryżem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-Junior-karma-pelnoporcjowa-mokra-dla-szczeniat-z-drobiem-i-ryzem-150-g,156640,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156640_360_350_1733495855.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
156676,WINSTON,"karma pełnoporcjowa mokra dla szczeniąt, z drobiem",400 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-Junior-karma-pelnoporcjowa-mokra-dla-szczeniat-z-drobiem-400-g,156676,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/156676_360_350_1727479425.webp,"3,39 zł","100 g = 0,85 zł",3.69,3.39,Niedostępny online; Sprawdź dostępność w drogerii
164073,WINSTON,"karma pełnoporcjowa mokra dla dorosłych psów, psów z drobiem i makaronem",150 g,,"https://www.rossmann.pl/Produkt/Mokre/Winston-karma-pelnoporcjowa-mokra-dla-doroslych-psow-psow-z-drobiem-i-makaronem-150-g,164073,19128",https://pro-fra-s3-productsassets.rossmann.pl/product_1_medium/164073_360_350_1733495200.webp,"1,99 zł","100 g = 1,33 zł",2.59,1.99,Niedostępny online; Sprawdź dostępność w drogerii
